,preco_focco_id,cod_item,cod_preven,tabela_descricao,produto,modulacao,comp_modulo,prof_produto,alt_modulo,tipo_acab,embalagem,base_pe,faixa,configuracao,resp,formula,preco
250718,12268313,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAMINADO#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAMINADO|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4691.0
250719,12268318,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAMINADO#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAMINADO|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4451.0
250720,12268325,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAMINADO#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAMINADO|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4431.0
250721,12268331,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAMINADO#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAMINADO|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,4191.0
250722,12268337,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4795.0
250723,12268343,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,4555.0
250724,12268349,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4795.0
250725,12268354,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4555.0
250726,12268360,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4535.0
250727,12268366,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA METALIZADO#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA METALIZADO|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,4295.0
250728,12268371,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4691.0
