timestamp,cod_preven,empresa_focco,acao,preco_focco_id,produto,campo,valor_antes,valor_depois,status
20260707_143941,155,1,UPDATE,12045092,PITESTI 25,qtde_tec,21.0,21.7808,PLANEJADO
20260707_143941,155,1,UPDATE,12045094,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045098,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045100,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045102,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045104,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045106,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045110,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045112,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045114,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045116,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045118,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045122,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045124,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045126,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045128,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045130,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045131,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045135,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045137,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045139,PITESTI 25,qtde_tec,22.0,22.609,PLANEJADO
20260707_143941,155,1,UPDATE,12045141,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045143,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045147,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045149,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045151,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045152,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045154,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045157,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045160,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045162,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045164,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045166,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045170,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045172,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045174,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045176,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045178,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045181,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045183,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045185,PITESTI 25,qtde_tec,26.0,26.7267,PLANEJADO
20260707_143941,155,1,UPDATE,12045187,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045189,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045193,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045195,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045197,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045199,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045201,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045205,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045207,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045209,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
