timestamp,cod_preven,empresa_focco,acao,preco_focco_id,produto,campo,valor_antes,valor_depois,status
20260707_084713,154,4,INSERT,12369920,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369921,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369922,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369923,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369924,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369925,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369926,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369927,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369928,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369929,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369930,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369931,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369932,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369933,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369934,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369935,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369936,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369937,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369938,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369939,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369940,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369941,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369942,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369943,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369944,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369945,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369946,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369947,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369948,MESA BELGA,,,,PLANEJADO
20260707_084713,154,4,INSERT,12369949,MESA BELGA,,,,PLANEJADO
